Date,Open,High,Low,Close,Adj Close,Volume,Tomorrow
5/1/2017,62.976002,65.449997,62.962002,64.566002,64.566002,44148000,63.778
5/2/2017,64.800003,65.531998,63.312,63.778,63.778,26914000,62.203999
5/3/2017,63.534,64.306,62.09,62.203999,62.203999,35667000,59.091999
5/4/2017,61.487999,61.554001,58.152,59.091999,59.091999,70760000,61.669998
5/5/2017,59.599998,61.709999,59.360001,61.669998,61.669998,40886500,61.438
5/8/2017,62.18,62.757999,61.164001,61.438,61.438,35032500,64.251999
5/9/2017,61.875999,64.398003,61.82,64.251999,64.251999,48382500,65.043999
5/10/2017,64.311996,65.099998,63.624001,65.043999,65.043999,28708000,64.620003
5/11/2017,64.68,65.199997,63.919998,64.620003,64.620003,23769000,64.961998
5/12/2017,65.096001,65.400002,64.306,64.961998,64.961998,20608000,63.175999
5/15/2017,63.675999,64.040001,62.506001,63.175999,63.175999,38110000,63.402
5/16/2017,63.518002,64.012001,63.028,63.402,63.402,20762500,61.222
5/17/2017,62.877998,62.925999,61.099998,61.222,61.222,33559500,62.612
5/18/2017,61.400002,62.787998,61.062,62.612,62.612,28269000,62.166
5/19/2017,63.099998,63.299999,62.040001,62.166,62.166,23438000,62.07
5/22/2017,62.560001,62.874001,61.360001,62.07,62.07,21646000,60.771999
5/23/2017,62.091999,62.146,60.695999,60.771999,60.771999,21592000,62.043999
5/24/2017,61.301998,62.200001,61.080002,62.043999,62.043999,25166500,63.366001
5/25/2017,62.203999,63.394001,61.562,63.366001,63.366001,25070000,65.028
5/26/2017,63.456001,65.098,63.262001,65.028,65.028,39011000,67.019997
5/30/2017,65.199997,67.255997,65.152,67.019997,67.019997,38914500,68.202003
5/31/2017,67.538002,68.578003,67.031998,68.202003,68.202003,49817000,68.073997
6/1/2017,68.800003,68.975998,67.458,68.073997,68.073997,38040000,67.970001
6/2/2017,67.954002,68.575996,67.185997,67.970001,67.970001,27951000,69.463997
6/5/2017,67.699997,69.688004,66.842003,69.463997,69.463997,33922000,70.57
6/6/2017,68.940002,71.898003,67.994003,70.57,70.57,55434000,71.93
6/7/2017,71.267998,72.099998,71.028,71.93,71.93,46990000,74
6/8/2017,72.75,74.379997,72.043999,74,74,45307500,71.463997
6/9/2017,74.884003,75.374001,70.959999,71.463997,71.463997,86307000,71.802002
6/12/2017,71.598,72.900002,70.124001,71.802002,71.802002,52588500,75.190002
6/13/2017,73.524002,75.199997,73.321999,75.190002,75.190002,59039500,76.132004
6/14/2017,76.218002,76.849998,75.262001,76.132004,76.132004,64092000,75.068001
6/15/2017,74.5,75.092003,73.297997,75.068001,75.068001,52132500,74.279999
6/16/2017,75.596001,75.601997,74.019997,74.279999,74.279999,33655000,73.959999
6/19/2017,75,75.339996,73.559998,73.959999,73.959999,32746500,74.447998
6/20/2017,75.334,75.776001,73.945999,74.447998,74.447998,37193500,75.279999
6/21/2017,74.870003,75.398003,73.603996,75.279999,75.279999,24616000,76.522003
6/22/2017,75.598,77,74.713997,76.522003,76.522003,37649000,76.690002
6/23/2017,76.489998,77.398003,75.870003,76.690002,76.690002,32229000,75.498001
